original,replacement
trang_la,trang la
rửa mặt,rửa_mặt
chống nắng,chống_nắng
loreal_dưỡng,loreal dưỡng
dưỡng_la,dưỡng la
ẩm_klairs,ẩm klairs
gel_rửa,gel rửa
ẩm_embryolisse,ẩm embryolisse
da_lão,da lão
lão hóa,lão_hóa
da_g,da g
hatomugi_ý_dĩ,hatomugi ý_dĩ
kem_dưỡng,kem dưỡng
gel_dưỡng,gel dưỡng
thâm_ml,thâm ml
tối_ưu_ml,tối_ưu ml
da_la,da la
ẩm_innisfree,ẩm innisfree
ẩm_nature,ẩm nature
mát_dưỡng,mát dưỡng
anessa_dưỡng,anessa dưỡng
pa_dưỡng,pa dưỡng
goodndoc_dưỡng,goodndoc dưỡng
ohoh_dưỡng,ohoh dưỡng
aqua_dưỡng,aqua dưỡng 
thâm_g,thâm g
vichy_thoáng,vichy thoáng
siêu_cấp,siêu cấp
dưỡng_skin,dưỡng skin
liquid_dưỡng,liquid dưỡng
torriden_dưỡng,torriden dưỡng
from_dưỡng,from dưỡng
cc_dưỡng,cc dưỡng
labo_dưỡng,labo dưỡng
hiệu_chỉnh_sắc,hiệu_chỉnh sắc
wonjin_dưỡng,wonjin dưỡng
banobagi_dưỡng,banobagi dưỡng
lan_dưỡng,lan dưỡng
bạch_ngọc lan,bạch_ngọc_lan
ẩm_vaseline,ẩm vaseline
ẩm_da,ẩm da
bột_ngũ,bột ngũ
ẩm_svr,ẩm svr
hazeline_ngừa,hazeline ngừa
ml_tinh,ml tinh
torriden_dưỡng,torriden dưỡng
colorkey_dưỡng,colorkey dưỡng
curél_dưỡng,curél dưỡng
ẩm_cetaphil,ẩm cetaphil
spf_pa,spf pa
dưỡng_mắt,dưỡng mắt
ẩm_vichy,ẩm vichy
xuất_retinol,xuất retinol
ngừa_lão,ngừa lão
hatomugi_dưỡng,hatomugi dưỡng
tắm_la,tắm la
lông_ml,lông ml
dưỡng_neutrogena,dưỡng neutrogena
ý_dĩ_dưỡng,ý_dĩ dưỡng
dưỡng_bioessence,dưỡng bioessence
mặt_nạ_dưỡng,mặt_nạ dưỡng
dưỡng_forencos,dưỡng forencos
dưỡng_mi,dưỡng mi
sữa_tẩy,sữa tẩy
ẩm_eucerin,ẩm eucerin
